species,region,map,method,time,qualification
SPECIES_ABRA,HOENN,MAP_GRANITE_CAVE_1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_BLACKTHORN_CITY_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_BLACKTHORN_CITY_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_MAHOGANYTOWN_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE26_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE33_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE33_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE42_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE42_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE44_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE44_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE45_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE46_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE46_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE47_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_ROUTE48_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_TIN_TOWER_3F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_TIN_TOWER_4F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_TIN_TOWER_5F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_TIN_TOWER_6F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,JOHTO,MAP_TIN_TOWER_7F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_FUCHSIA_CITY_SAFARI_ZONE_BRUSH_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_ROUTE11_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_ROUTE11_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_ROUTE3_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_ROUTE3_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_ROUTE7_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_ROUTE7_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_VERMILION_CITY_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_VERMILION_CITY_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_VIRIDIAN_CITY_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_AIPOM,KANTO,MAP_VIRIDIAN_CITY_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_ARON,HNS_UNCLASSIFIED,MAP_SNOWSWEPT_CAVERN_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_ARON,HOENN,MAP_GRANITE_CAVE_B1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ARON,HOENN,MAP_GRANITE_CAVE_B2F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ARON,HOENN,MAP_GRANITE_CAVE_STEVENS_ROOM,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ARON,HOENN,MAP_VICTORY_ROAD_1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ARON,HOENN,MAP_VICTORY_ROAD_B1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_ARON,HOENN,MAP_VICTORY_ROAD_B2F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_AZUMARILL,HOENN,MAP_ROUTE117,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BALTOY,HNS_UNCLASSIFIED,MAP_SINJOH_RUINS_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_BALTOY,HNS_UNCLASSIFIED,MAP_SINJOH_RUINS_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BALTOY,HOENN,MAP_ROUTE111,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BALTOY,HOENN,MAP_SKY_PILLAR_1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BALTOY,HOENN,MAP_SKY_PILLAR_3F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BALTOY,HOENN,MAP_SKY_PILLAR_5F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HNS_UNCLASSIFIED,MAP_PONI_CAVE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_METEOR_FALLS_1F_1R,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_METEOR_FALLS_1F_2R,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_METEOR_FALLS_B1F_1R,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_METEOR_FALLS_B1F_2R,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_ROUTE111,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_ROUTE114,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_ROUTE120,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BARBOACH,HOENN,MAP_VICTORY_ROAD_B2F,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_ROUTE31_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_ROUTE31_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_ROUTE32_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_ROUTE36_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_ROUTE44_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_ROUTE44_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_SAFARI_ZONE_TOP_MID_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_VIOLET_CITY_HNS,rock_smash_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,JOHTO,MAP_VIOLET_CITY_HNS,rock_smash_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE12_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE12_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE13_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE13_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE14_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE14_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE15_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE15_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE24_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE24_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE25_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE25_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE5_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE5_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE6_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE6_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE7_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_BELLSPROUT,KANTO,MAP_ROUTE7_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CACNEA,HOENN,MAP_ROUTE111,land_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_MOSSDEEP_CITY,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_PACIFIDLOG_TOWN,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE103,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE118,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE119,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE122,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE124,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE125,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE126,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE127,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE129,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE130,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE131,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE132,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE133,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CARVANHA,HOENN,MAP_ROUTE134,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,HNS_UNCLASSIFIED,MAP_AKALA_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,HOENN,MAP_UNDERWATER_ROUTE124,water_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,HOENN,MAP_UNDERWATER_ROUTE126,water_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_CIANWOOD_CITY_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_DARK_CAVE_SOUTH_SIDE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_MT_MORTAR_1F_NORTH_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_MT_MORTAR_1F_SOUTH_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_MT_MORTAR_2F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_MT_MORTAR_B1F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_NEW_BARK_TOWN_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_NEW_BARK_TOWN_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_OLIVINE_CITY_PORT_OUTSIDE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_OLIVINE_CITY_PORT_OUTSIDE_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_ROUTE41_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_ROUTE47_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_SLOWPOKE_WELL_B1F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_SLOWPOKE_WELL_B2F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_UNION_CAVE_1F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_UNION_CAVE_B1F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_UNION_CAVE_B2F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_WHIRL_ISLANDS_1F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_WHIRL_ISLANDS_B1F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,JOHTO,MAP_WHIRL_ISLANDS_B2F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,KANTO,MAP_CINNABAR_ISLAND_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,KANTO,MAP_CINNABAR_ISLAND_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CHINCHOU,KANTO,MAP_VERMILION_CITY_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,KANTO,MAP_VERMILION_CITY_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CHINCHOU,KANTO,MAP_VERMILION_CITY_PORT_OUTSIDE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CHINCHOU,KANTO,MAP_VERMILION_CITY_PORT_OUTSIDE_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CLAMPERL,HNS_UNCLASSIFIED,MAP_ALOLA_WATER_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CLAMPERL,HNS_UNCLASSIFIED,MAP_MELEMELE_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CLAMPERL,HNS_UNCLASSIFIED,MAP_ULAULA_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CLAMPERL,HOENN,MAP_UNDERWATER_ROUTE124,water_mons,TIME_DAY,table presence; access not verified
SPECIES_CLAMPERL,HOENN,MAP_UNDERWATER_ROUTE126,water_mons,TIME_DAY,table presence; access not verified
SPECIES_CLAYDOL,HOENN,MAP_SKY_PILLAR_1F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_CLAYDOL,HOENN,MAP_SKY_PILLAR_3F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_CLAYDOL,HOENN,MAP_SKY_PILLAR_5F,land_mons,TIME_DAY,table presence; access not verified
SPECIES_CORPHISH,HNS_UNCLASSIFIED,MAP_PONI_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORPHISH,HOENN,MAP_PETALBURG_CITY,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORPHISH,HOENN,MAP_ROUTE102,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORPHISH,HOENN,MAP_ROUTE117,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,HNS_UNCLASSIFIED,MAP_AKALA_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,HNS_UNCLASSIFIED,MAP_ALOLA_WATER_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,HNS_UNCLASSIFIED,MAP_MELEMELE_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,HNS_UNCLASSIFIED,MAP_PONI_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,HNS_UNCLASSIFIED,MAP_ULAULA_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,HOENN,MAP_EVER_GRANDE_CITY,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,HOENN,MAP_ROUTE128,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_CHERRYGROVE_CITY_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_OLIVINE_CITY_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE30_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE31_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE34_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE34_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE35_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE40_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE42_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE43_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_ROUTE47_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_RUINS_OF_ALPH_OUTSIDE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_WHIRL_ISLANDS_1F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_WHIRL_ISLANDS_1F_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_WHIRL_ISLANDS_B1F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_WHIRL_ISLANDS_B1F_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,JOHTO,MAP_WHIRL_ISLANDS_B1F_INNER_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_CERULEAN_CAVE_1F_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_CERULEAN_CAVE_1F_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_CINNABAR_ISLAND_HNS,water_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_CINNABAR_ISLAND_HNS,water_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_ROUTE10_HNS,water_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_ROUTE10_HNS,water_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_ROUTE13_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_ROUTE20_HNS,water_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_ROUTE20_HNS,water_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_ROUTE23_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_CORSOLA,KANTO,MAP_ROUTE23_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_CRAWDAUNT,HNS_UNCLASSIFIED,MAP_PONI_ISLE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_DEWGONG,JOHTO,MAP_WHIRL_ISLANDS_B2F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DEWGONG,JOHTO,MAP_WHIRL_ISLANDS_B2F_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DEWGONG,JOHTO,MAP_WHIRL_ISLANDS_B3F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DEWGONG,JOHTO,MAP_WHIRL_ISLANDS_DESCENT_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DONPHAN,JOHTO,MAP_MT_SILVER_OUTSIDE_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DONPHAN,JOHTO,MAP_ROUTE45_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,JOHTO,MAP_DRAGONS_DEN_CAVERN_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,JOHTO,MAP_DRAGONS_DEN_CAVERN_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DRATINI,JOHTO,MAP_DRAGONS_DEN_CAVERN_HNS,water_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,JOHTO,MAP_DRAGONS_DEN_CAVERN_HNS,water_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DRATINI,JOHTO,MAP_ROUTE45_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,JOHTO,MAP_SAFARI_ZONE_LOW_RIGHT_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,JOHTO,MAP_SAFARI_ZONE_LOW_RIGHT_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,KANTO,MAP_FUCHSIA_CITY_SAFARI_ZONE_BEACH_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,KANTO,MAP_FUCHSIA_CITY_SAFARI_ZONE_BEACH_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DRATINI,KANTO,MAP_FUCHSIA_CITY_SAFARI_ZONE_CAVE_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,KANTO,MAP_FUCHSIA_CITY_SAFARI_ZONE_CAVE_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DRATINI,KANTO,MAP_FUCHSIA_CITY_SAFARI_ZONE_MOUNTAIN_HNS,fishing_mons,TIME_DAY,table presence; access not verified
SPECIES_DRATINI,KANTO,MAP_FUCHSIA_CITY_SAFARI_ZONE_MOUNTAIN_HNS,fishing_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DROWZEE,JOHTO,MAP_ROUTE34_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DROWZEE,JOHTO,MAP_WHIRL_ISLANDS_B2F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DROWZEE,JOHTO,MAP_WHIRL_ISLANDS_B2F_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DROWZEE,JOHTO,MAP_WHIRL_ISLANDS_B3F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DROWZEE,KANTO,MAP_ROUTE11_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DROWZEE,KANTO,MAP_ROUTE11_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DUNSPARCE,JOHTO,MAP_DARK_CAVE_SOUTH_SIDE_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DUNSPARCE,KANTO,MAP_CERULEAN_CAVE_B1F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DUNSPARCE,KANTO,MAP_CERULEAN_CAVE_B1F_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DUNSPARCE,KANTO,MAP_ROCK_TUNNEL_1F_HNS,land_mons,TIME_DAY,table presence; access not verified
SPECIES_DUNSPARCE,KANTO,MAP_ROCK_TUNNEL_1F_HNS,land_mons,TIME_NIGHT,table presence; access not verified
SPECIES_DUNSPARCE,KANTO,MAP_SEAFOAM_ISLANDS_1F_HNS,land_mons,TIME_DAY,table presence; access not verified
