table_slot	layout_id	layout_name	version	width	height	logical_bytes	padded_grid_tiles	padded_grid_bytes	source	source_path	source_sha256	source_crc32	raw_file_bytes	trailing_bytes	lz_stream_bytes	lz_stream_sha256	lz_stream_crc32	lz_decode_consumed_bytes	lz_padding_bytes	storage	stored_bytes	aligned_storage_bytes	interrecord_alignment_bytes	compressed_stream_artifact	special_raw_exception_candidate
11	LAYOUT_OLDALE_TOWN	OldaleTown_Layout	emerald	20	20	800	1190	2380	data/layouts/OldaleTown/map.bin	data/layouts/OldaleTown/map.bin	4e56863147c213125211821aabb09ea551675249e940a065720618bac79a9cfb	eef23e9e	800	0	384	c7651a45d880bd84b52abfa835745b86105776587076ba9009cc5572d20c57bd	102fb063	384	0	gba_lz77	384	384	0	streams/0011-LAYOUT_OLDALE_TOWN.lz	
12	LAYOUT_DEWFORD_TOWN	DewfordTown_Layout	emerald	20	20	800	1190	2380	data/layouts/DewfordTown/map.bin	data/layouts/DewfordTown/map.bin	f99942a2f630ca1fc16d7d84f7f831485934962c4477e8b1fa88cfbe30c61f74	c842c48c	800	0	372	eee5e7b3d6e8fe40b13c72753a3820aa67468a24183c3691a7a729db2298763b	2a221103	370	2	gba_lz77	372	372	0	streams/0012-LAYOUT_DEWFORD_TOWN.lz	
13	LAYOUT_LAVARIDGE_TOWN	LavaridgeTown_Layout	emerald	20	20	800	1190	2380	data/layouts/LavaridgeTown/map.bin	data/layouts/LavaridgeTown/map.bin	a1a2850c714eb3da1fd532b2c1dfd80f45d1c6d3a52fd23fe0f0e17547c90be5	bcab0c2c	800	0	476	b3ac099da37b3021ef480c2592c6f16654f4383a2fe19b354820dba4b91db634	e4fd2aa2	475	1	gba_lz77	476	476	0	streams/0013-LAYOUT_LAVARIDGE_TOWN.lz	
14	LAYOUT_FALLARBOR_TOWN	FallarborTown_Layout	emerald	20	20	800	1190	2380	data/layouts/FallarborTown/map.bin	data/layouts/FallarborTown/map.bin	a3f9e2cc31c8e9d0ea8e819dd23c208e20769c308c5356aeedd24debb92c7246	b679896a	800	0	440	ad51cb3d26f8ae838c26e8a00800592a563900ae199b291018f943438927ba66	351e0d9a	438	2	gba_lz77	440	440	0	streams/0014-LAYOUT_FALLARBOR_TOWN.lz	
15	LAYOUT_VERDANTURF_TOWN	VerdanturfTown_Layout	emerald	20	20	800	1190	2380	data/layouts/VerdanturfTown/map.bin	data/layouts/VerdanturfTown/map.bin	1a40e9a8990e3e789b4205e8836b0ab49927c6c3e5dfe36df96c611f323af097	6502c390	800	0	444	ea0afb7e13b866268a3053d2ab75a266f88acbfaa22218465a9ce0b9d6bfad67	9a952a26	442	2	gba_lz77	444	444	0	streams/0015-LAYOUT_VERDANTURF_TOWN.lz	
16	LAYOUT_PACIFIDLOG_TOWN	PacifidlogTown_Layout	emerald	20	40	1600	1890	3780	data/layouts/PacifidlogTown/map.bin	data/layouts/PacifidlogTown/map.bin	f08d44b94a8599621be642381b7f6a74aa7f33efa72c24a4ba92bac3fe79bdf8	29b6cf58	1600	0	504	1eac5fcfb267121bdc1f5287e08af07cbb2af455766155424facfddd7b53bee8	cc68558a	504	0	gba_lz77	504	504	0	streams/0016-LAYOUT_PACIFIDLOG_TOWN.lz	
17	LAYOUT_ROUTE101	Route101_Layout	emerald	20	20	800	1190	2380	data/layouts/Route101/map.bin	data/layouts/Route101/map.bin	134cf07849968c1b3415df2205e5ba771cb26ba5484cc5d78a1e8d76e52f12ed	8f31b701	800	0	296	93b94dc149584a50c25178d26b403ca9149d7c6c88baa27d91ea36dc3f566feb	ce2c08aa	293	3	gba_lz77	296	296	0	streams/0017-LAYOUT_ROUTE101.lz	
18	LAYOUT_ROUTE102	Route102_Layout	emerald	50	20	2000	2210	4420	data/layouts/Route102/map.bin	data/layouts/Route102/map.bin	0bdc71923970bbe8ddaa3bc5793ffbaea0e79c7d08ff14b7aff7ec559570778c	48a20af3	2000	0	508	c8d65fad6117f2e799441ab8d26523d82bdd614e4e96f401627d16d622d63ed3	a8be655d	508	0	gba_lz77	508	508	0	streams/0018-LAYOUT_ROUTE102.lz	
19	LAYOUT_ROUTE103	Route103_Layout	emerald	80	22	3520	3420	6840	data/layouts/Route103/map.bin	data/layouts/Route103/map.bin	e9acf129a6fc0bef6755e6be721887ddcddeb69fe968289d98135e9195a3d837	c6bfaf86	3520	0	960	15e5983df52e54e2dbe24ecbea03c97bf51e6ae2e62a01a7980ceab28d02a026	9c6177fa	957	3	gba_lz77	960	960	0	streams/0019-LAYOUT_ROUTE103.lz	
20	LAYOUT_ROUTE104	Route104_Layout	emerald	40	80	6400	5170	10340	data/layouts/Route104/map.bin	data/layouts/Route104/map.bin	4dcbb4276d1010228e45ebe2dd1e3c9c2bd5843ba127ae108968c646d41f4329	11e16df5	6400	0	1740	f69c6e8bdfa2003a8f86ee77d41704bf143965657beece61585d1b057fbbb18d	4d2ed6bf	1737	3	gba_lz77	1740	1740	0	streams/0020-LAYOUT_ROUTE104.lz	
21	LAYOUT_ROUTE105	Route105_Layout	emerald	40	80	6400	5170	10340	data/layouts/Route105/map.bin	data/layouts/Route105/map.bin	3426db0bbeca5baeb3971d5d60345400d01fff229a60c28ebe3745fd81558b14	a85c25ab	6400	0	1212	3bebe31fb6c0bcbeef8bd9c7ca552ec2c6f0eda9088313461221a7bda1125653	468e4c82	1209	3	gba_lz77	1212	1212	0	streams/0021-LAYOUT_ROUTE105.lz	
22	LAYOUT_ROUTE106	Route106_Layout	emerald	80	20	3200	3230	6460	data/layouts/Route106/map.bin	data/layouts/Route106/map.bin	1b7db80391ceca412e992ad704ccfd8018d3d97a810d4a144033e1193ba67849	75e5b052	3200	0	696	978130a1163c399bb6ae5a5bf8ad9a85bc160bb40d35b43850f3611123685434	239c610e	694	2	gba_lz77	696	696	0	streams/0022-LAYOUT_ROUTE106.lz	
23	LAYOUT_ROUTE107	Route107_Layout	emerald	60	20	2400	2550	5100	data/layouts/Route107/map.bin	data/layouts/Route107/map.bin	af88a3d526aa59d8f263514364c2ae76f333d3e0dc9222c3b1786f10f025e097	d83f91e5	2400	0	560	67baa82e1c832e296171ad7643256037520b1386c907fc25d00c6d9da282a54d	1971bd2b	559	1	gba_lz77	560	560	0	streams/0023-LAYOUT_ROUTE107.lz	
24	LAYOUT_ROUTE108	Route108_Layout	emerald	60	20	2400	2550	5100	data/layouts/Route108/map.bin	data/layouts/Route108/map.bin	ce26f4514773299ca502927ce59fa0fc2b70aba91be665f56c3d3bc8aa0bf886	8c0e85b8	2400	0	556	715687511d7a0222735fb7226f2acbf3135f837ac53d90eeeb09b65f310cc3a3	ceadbfe2	554	2	gba_lz77	556	556	0	streams/0024-LAYOUT_ROUTE108.lz	
25	LAYOUT_ROUTE109	Route109_Layout	emerald	40	63	5040	4235	8470	data/layouts/Route109/map.bin	data/layouts/Route109/map.bin	4f6c0180928cdc3268eaef6331137696f24626c9e618361b937a1d0b9a664d23	6b35050c	5040	0	1064	79ce796b3c8476b338bf00a44ac555b855e0a352080c40e9ca49f45929a30dc2	e1fd5a85	1063	1	gba_lz77	1064	1064	0	streams/0025-LAYOUT_ROUTE109.lz	
26	LAYOUT_ROUTE110	Route110_Layout	emerald	40	100	8000	6270	12540	data/layouts/Route110/map.bin	data/layouts/Route110/map.bin	53c4da783116c4b726989d9ebb872ee4cbfaea1e148b39a4e345471e60a3d6da	bcb72503	8000	0	2452	79259e4d3284693f30c169bf6b23bd5510774128d921ca59f403f327203db7e7	9946d6dd	2450	2	gba_lz77	2452	2452	0	streams/0026-LAYOUT_ROUTE110.lz	
27	LAYOUT_ROUTE111	Route111_Layout	emerald	40	140	11200	8470	16940	data/layouts/Route111/map.bin	data/layouts/Route111/map.bin	d25bb04ec8a68b82f4af9808974187335c67c17443b0b97c46296bd6f2abfd2a	695eb218	11200	0	3576	900a57fd422e1528c27ddc93d5d462b03e1ea618b7df046a40db7caa991caa7b	45ee4006	3573	3	gba_lz77	3576	3576	0	streams/0027-LAYOUT_ROUTE111.lz	
28	LAYOUT_ROUTE112	Route112_Layout	emerald	40	60	4800	4070	8140	data/layouts/Route112/map.bin	data/layouts/Route112/map.bin	f47781dfb67f0661cf8665c39fe7b6d41cde4a59db5652093336a9029dca10d3	a092c5b6	4800	0	1632	08d06b83c4f98ead78829b8bf779d4166da87818a3a5a7c069981a80cd348778	94e7739c	1630	2	gba_lz77	1632	1632	0	streams/0028-LAYOUT_ROUTE112.lz	
29	LAYOUT_ROUTE113	Route113_Layout	emerald	100	20	4000	3910	7820	data/layouts/Route113/map.bin	data/layouts/Route113/map.bin	17f3dcc5809540d6e99068c980c019f4a67241e1fea276714d2f5f9b9689ee6b	9a42a547	4000	0	1164	212c132a3690e04058509b74786731540973adc05e8eb6dbc612f91838050eef	b1e2d870	1161	3	gba_lz77	1164	1164	0	streams/0029-LAYOUT_ROUTE113.lz	
30	LAYOUT_ROUTE114	Route114_Layout	emerald	40	80	6400	5170	10340	data/layouts/Route114/map.bin	data/layouts/Route114/map.bin	2b2c0d6a1bc47c172448db6a9231522d5716d5272ac827dd0fbd23f9798d88d7	b605f51d	6400	0	1980	c80d60b77acdf641a0c10f389dbf1b78bae73bc2388a39ed7093ac7432ef185e	25dc57eb	1978	2	gba_lz77	1980	1980	0	streams/0030-LAYOUT_ROUTE114.lz	
31	LAYOUT_ROUTE115	Route115_Layout	emerald	40	80	6400	5170	10340	data/layouts/Route115/map.bin	data/layouts/Route115/map.bin	5c7cc1c25391885af12d40f67c08e2cb04a9984bf2b7d9a604855d1e85ba10fc	8aa63f03	6400	0	1840	ec2c6ffbcbf166eaf604c822fa57f4c983dc1e94ea61188ef3fc56a903f7f560	261b4883	1838	2	gba_lz77	1840	1840	0	streams/0031-LAYOUT_ROUTE115.lz	
32	LAYOUT_ROUTE116	Route116_Layout	emerald	100	20	4000	3910	7820	data/layouts/Route116/map.bin	data/layouts/Route116/map.bin	c38a1213697a4029db23ead73551a25a5cff0a32460bf422f4bc4378f854a9c8	137bf980	4000	0	1100	3223f39a0a762b3afdf95e3080cdac4d1cb25a156457ad7cc07b32ba64f2b429	63262008	1097	3	gba_lz77	1100	1100	0	streams/0032-LAYOUT_ROUTE116.lz	
33	LAYOUT_ROUTE117	Route117_Layout	emerald	60	20	2400	2550	5100	data/layouts/Route117/map.bin	data/layouts/Route117/map.bin	ba053345af2fadd7d934f8b8d1c896c7b64de7da050a8f399756a682c18324b6	da4fee79	2400	0	848	77fae9ff2149ffbad3a576f8437e1e900b56bfcb364045e535242b4733eb90a1	feffd738	845	3	gba_lz77	848	848	0	streams/0033-LAYOUT_ROUTE117.lz	
34	LAYOUT_ROUTE118	Route118_Layout	emerald	80	20	3200	3230	6460	data/layouts/Route118/map.bin	data/layouts/Route118/map.bin	09f14c4e289b4bbd0629b475564a30e8528458666ee01886479a932604b14c6d	9609d9c2	3200	0	980	d4f2374fd231201b7ea497882e1e2924da5159082fc2120c9f6137da3a06033b	22ffc17b	980	0	gba_lz77	980	980	0	streams/0034-LAYOUT_ROUTE118.lz	
35	LAYOUT_ROUTE119	Route119_Layout	emerald	40	140	11200	8470	16940	data/layouts/Route119/map.bin	data/layouts/Route119/map.bin	f6c948a0fb90925afce408b4bf1742ba56e9e6c95ffb899a348d563d1ba5f47d	ad245ae8	11200	0	3496	b276316b895a61165a1f9b1b3f493fb9b97cce35b88989e4f8039fa593e521b9	817d4a4f	3496	0	gba_lz77	3496	3496	0	streams/0035-LAYOUT_ROUTE119.lz	
36	LAYOUT_ROUTE120	Route120_Layout	emerald	40	100	8000	6270	12540	data/layouts/Route120/map.bin	data/layouts/Route120/map.bin	5a05035e557bc5aa82a66e5817708a6e4d280731938f6b2840eef3a90cae4818	cb76e01b	8000	0	2328	54353a58f85b798e7e3a3fa640b0b0398d81b2d69c845af62e8bc313a7a65367	4712abb2	2328	0	gba_lz77	2328	2328	0	streams/0036-LAYOUT_ROUTE120.lz	
37	LAYOUT_ROUTE121	Route121_Layout	emerald	80	20	3200	3230	6460	data/layouts/Route121/map.bin	data/layouts/Route121/map.bin	d12a569334aa635dcedd83b2ffb19ea49b034a26ad57aa21a6383c84122e4efa	fa17d497	3200	0	936	29b2dacd2d49f9e114e7654aee10b67ba07db9410de4ef9a445e9a0a72b1df27	5c2d70c9	936	0	gba_lz77	936	936	0	streams/0037-LAYOUT_ROUTE121.lz	
38	LAYOUT_ROUTE122	Route122_Layout	emerald	40	40	3200	2970	5940	data/layouts/Route122/map.bin	data/layouts/Route122/map.bin	ae966105f4ec3b21aeb164719f77c28870b49f1ad004af4090570b8bf0156544	73135a26	3200	0	764	22d9293a0e6f1a8ce74ce36d2b90a529ab09f0427e5960423ba3e375bf9d477d	e97cbde2	763	1	gba_lz77	764	764	0	streams/0038-LAYOUT_ROUTE122.lz	
39	LAYOUT_ROUTE123	Route123_Layout	emerald	140	20	5600	5270	10540	data/layouts/Route123/map.bin	data/layouts/Route123/map.bin	18ac219841ec9d2213a788cff291087d81266e8baf8c12e1b8bf5d918d4dc26e	03d5ce09	5600	0	1376	44d672d9bb8e479d5c5209c459458b1012aebe5d4f90b2e69a63c3c7bef37ec5	02832a48	1374	2	gba_lz77	1376	1376	0	streams/0039-LAYOUT_ROUTE123.lz	
40	LAYOUT_ROUTE124	Route124_Layout	emerald	80	80	12800	8930	17860	data/layouts/Route124/map.bin	data/layouts/Route124/map.bin	f0cd92f35880a375cf452fd149f04bd8031d4141d9a10de97fedaaae83c56aad	fe6eb09a	12800	0	2836	3d6dc62ea2581ef17cdedfec0d63d587035d0a6be07aab26ee295c1d503e78c9	95f5d4b2	2836	0	gba_lz77	2836	2836	0	streams/0040-LAYOUT_ROUTE124.lz	
41	LAYOUT_ROUTE125	Route125_Layout	emerald	80	40	6400	5130	10260	data/layouts/Route125/map.bin	data/layouts/Route125/map.bin	4edacf0c5d0ed044b9a265615742186db1c09db559707db4bef81c1aedd9827c	2549f97c	6400	0	1528	20ffe6c61a64d5d86285929f63b50619984a1b8a8e79b69418901ff2e81c7221	fae31030	1525	3	gba_lz77	1528	1528	0	streams/0041-LAYOUT_ROUTE125.lz	
42	LAYOUT_ROUTE126	Route126_Layout	emerald	80	80	12800	8930	17860	data/layouts/Route126/map.bin	data/layouts/Route126/map.bin	f82e44e744e9135417778d9ce02b39d12d050ba8e6033b5891956a3dffbbb082	ea936880	12800	0	3720	8239dde4b76800853e6bd2cbc3ec61103547448b0ee5f382a36fe306601dde5c	214cec11	3717	3	gba_lz77	3720	3720	0	streams/0042-LAYOUT_ROUTE126.lz	
43	LAYOUT_ROUTE127	Route127_Layout	emerald	80	80	12800	8930	17860	data/layouts/Route127/map.bin	data/layouts/Route127/map.bin	b56a8c342a119a825518e6c14d47d63b4fb72374096567cf9a64cf7d6ef7ca19	31b8a341	12800	0	4244	5a25a9e4733f73e672964eda67f367965c4fa9c4cbb844354424ce37c990a8b2	97efc39f	4241	3	gba_lz77	4244	4244	0	streams/0043-LAYOUT_ROUTE127.lz	
44	LAYOUT_ROUTE128	Route128_Layout	emerald	120	40	9600	7290	14580	data/layouts/Route128/map.bin	data/layouts/Route128/map.bin	f954f50b0996ca4c6be9c64ec1ac1a9660a50ed2e3dc554613293bde47ba422e	f93564ee	9600	0	2192	527323b26e9be2720b3504d0aeb72405e72972549e8fe4b41ae53305b230f70d	d0f51895	2191	1	gba_lz77	2192	2192	0	streams/0044-LAYOUT_ROUTE128.lz	
45	LAYOUT_ROUTE129	Route129_Layout	emerald	80	40	6400	5130	10260	data/layouts/Route129/map.bin	data/layouts/Route129/map.bin	8f2667270702eb34efa808dbdafbee4d677e25bb2d89c24b51e577457f1011b6	c4dc7abe	6400	0	1140	368e6b9f1cb8020bd98e8cb8fad9e9689ffcbf59ba5d4f9cc54c5bc10d9c149a	45c7e0e3	1137	3	gba_lz77	1140	1140	0	streams/0045-LAYOUT_ROUTE129.lz	
46	LAYOUT_ROUTE130_MIRAGE_ISLAND	Route130_MirageIsland_Layout	emerald	80	40	6400	5130	10260	data/layouts/Route130_MirageIsland/map.bin	data/layouts/Route130_MirageIsland/map.bin	0b35e2257ed4076c887bb50e95efc4403ba68e18af0aac77a605db4249753363	d866692f	6400	0	1424	719a515fe1a3f166b4f2d95d6b30323579b4dca76db9d37aa158b24ae2bc43cb	f3fdc5ea	1424	0	gba_lz77	1424	1424	0	streams/0046-LAYOUT_ROUTE130_MIRAGE_ISLAND.lz	
47	LAYOUT_ROUTE131	Route131_Layout	emerald	60	40	4800	4050	8100	data/layouts/Route131/map.bin	data/layouts/Route131/map.bin	f37c7300b40969630c780319814cd875f8aad346423be9818a76c6c32e7779d9	757b1c18	4800	0	940	a11d7077e747c901803eaf0f3dfab97139a31e4dc79bf1efc6f08d7721a2cb5d	9bbfdcf3	938	2	gba_lz77	940	940	0	streams/0047-LAYOUT_ROUTE131.lz	
48	LAYOUT_ROUTE132	Route132_Layout	emerald	80	40	6400	5130	10260	data/layouts/Route132/map.bin	data/layouts/Route132/map.bin	8b93fce8aa8111d6d117c0f0fcf35acbcc4ee87ec0ecfbf9c7b181d4894f338b	b1597be4	6400	0	1512	ff1a813a0e31e499a4b817150fb90dd81ffd5df0b36a7bafb91cd5de2fe2d085	1b97fd30	1510	2	gba_lz77	1512	1512	0	streams/0048-LAYOUT_ROUTE132.lz	
49	LAYOUT_ROUTE133	Route133_Layout	emerald	80	40	6400	5130	10260	data/layouts/Route133/map.bin	data/layouts/Route133/map.bin	c638698574ccacfe01c6b87cf57a602b756341216cec4130b788719e94edd5d3	68a89e50	6400	0	1340	8d950fef608ade460d3ff85aa753ccf6ecb23ccaebb51c9fc9b5a7c59676b132	2771c86c	1340	0	gba_lz77	1340	1340	0	streams/0049-LAYOUT_ROUTE133.lz	
50	LAYOUT_ROUTE134	Route134_Layout	emerald	80	40	6400	5130	10260	data/layouts/Route134/map.bin	data/layouts/Route134/map.bin	2a6662269fb0472a8df1401c36adb0437b053bce7156d251d75e46f8dbcf3237	204c8042	6400	0	1312	aed64d4ca7dda1968479550f4b3b7fb5dac903273f584d302f8c352014b8d6c9	acfb4ce6	1310	2	gba_lz77	1312	1312	0	streams/0050-LAYOUT_ROUTE134.lz	
51	LAYOUT_UNDERWATER_ROUTE126	Underwater_Route126_Layout	emerald	80	80	12800	8930	17860	data/layouts/Underwater_Route126/map.bin	data/layouts/Underwater_Route126/map.bin	fcd09e9fb1304e0b6107b953da9e7812c70d27f09e932b875574c3105ccbf1b5	2f607819	12800	0	2228	75672308f36e002a4283bb4fb69afc0e1fa5dd08f31ef18ee213a40684c28ff9	6a2d820b	2227	1	gba_lz77	2228	2228	0	streams/0051-LAYOUT_UNDERWATER_ROUTE126.lz	
52	LAYOUT_UNDERWATER_ROUTE127	Underwater_Route127_Layout	emerald	80	80	12800	8930	17860	data/layouts/Underwater_Route127/map.bin	data/layouts/Underwater_Route127/map.bin	a92002ce4d24f77df13e9146ea0d0097a57e36057661e780777ce48f60bcc745	fd15aef2	12800	0	2940	2c120bbf585f356729510f8a6607f090975e83a01c9a471b978f6a754a0a7578	6acf3df6	2940	0	gba_lz77	2940	2940	0	streams/0052-LAYOUT_UNDERWATER_ROUTE127.lz	
53	LAYOUT_UNDERWATER_ROUTE128	Underwater_Route128_Layout	emerald	120	40	9600	7290	14580	data/layouts/Underwater_Route128/map.bin	data/layouts/Underwater_Route128/map.bin	95aaf886005101d9f791e0667a88080533705e90e7ce88e516d4a4a5857d1bdc	bf3b110f	9600	0	1908	6c9fd485994dd84c196e44041c6858ea2a2827231f3d0468363cff424cab22a3	2c9c01c9	1905	3	gba_lz77	1908	1908	0	streams/0053-LAYOUT_UNDERWATER_ROUTE128.lz	
54	LAYOUT_LITTLEROOT_TOWN_BRENDANS_HOUSE_1F	LittlerootTown_BrendansHouse_1F_Layout	emerald	11	9	198	598	1196	data/layouts/LittlerootTown_BrendansHouse_1F/map.bin	data/layouts/LittlerootTown_BrendansHouse_1F/map.bin	2bda1ad1bb54eb050fb2140c7a1a9454797992ceedeff0b8ce267b11b9d9b758	e91f2516	198	0	172	9ad00b785e3d42c6ee46d0bbbf0700cb80e2c9929c6baaff959e4a9b8f06c50b	4d3f5bed	169	3	gba_lz77	172	172	0	streams/0054-LAYOUT_LITTLEROOT_TOWN_BRENDANS_HOUSE_1F.lz	
55	LAYOUT_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F	LittlerootTown_BrendansHouse_2F_Layout	emerald	9	8	144	528	1056	data/layouts/LittlerootTown_BrendansHouse_2F/map.bin	data/layouts/LittlerootTown_BrendansHouse_2F/map.bin	112f73b62a84f4d870b45dc8c90918fc74851bf7643628cf70a229588a21b02c	d3f7de3e	144	0	132	5860c62846b37867664ddea5dd90874665f15d3ff9a95946e4b805111f6184bc	e04d23b5	129	3	gba_lz77	132	132	0	streams/0055-LAYOUT_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F.lz	
56	LAYOUT_LITTLEROOT_TOWN_MAYS_HOUSE_1F	LittlerootTown_MaysHouse_1F_Layout	emerald	11	9	198	598	1196	data/layouts/LittlerootTown_MaysHouse_1F/map.bin	data/layouts/LittlerootTown_MaysHouse_1F/map.bin	a6c742939e54c73fe9b08e584e3531b174eec6845bdb7a26cd7f4a30d5f82605	a07f1171	198	0	152	d75b94370c1cbdc16489958d36c519470171ac32b51810a3d47590341dea732c	17dcfa9f	150	2	gba_lz77	152	152	0	streams/0056-LAYOUT_LITTLEROOT_TOWN_MAYS_HOUSE_1F.lz	
57	LAYOUT_LITTLEROOT_TOWN_MAYS_HOUSE_2F	LittlerootTown_MaysHouse_2F_Layout	emerald	9	8	144	528	1056	data/layouts/LittlerootTown_MaysHouse_2F/map.bin	data/layouts/LittlerootTown_MaysHouse_2F/map.bin	6c69c9a3705243ab43daa3817d007592b67894562a9dfbc0edfd7abbfde56ab9	bbc06d75	144	0	128	0070171e3841c09039052e69c5e583d91ea3a7435cd4322f617cabbb23984f1d	3ff5a1e4	128	0	gba_lz77	128	128	0	streams/0057-LAYOUT_LITTLEROOT_TOWN_MAYS_HOUSE_2F.lz	
