case,mode,sample,cycles
1,2,13,1300491
1,0,14,151871
1,1,14,915488
1,2,14,1300491
1,0,15,151871
1,1,15,915488
1,2,15,1300491
1,0,16,151871
1,1,16,915488
1,2,16,1300491
1,0,17,151871
1,1,17,915488
1,2,17,1300491
1,0,18,151871
1,1,18,915488
1,2,18,1300491
1,0,19,151871
1,1,19,915488
1,2,19,1300491
1,0,20,151871
1,1,20,915488
1,2,20,1300491
1,0,21,151871
1,1,21,915488
1,2,21,1300491
1,0,22,151871
1,1,22,915488
1,2,22,1300491
1,0,23,151871
1,1,23,915488
1,2,23,1300491
1,0,24,151871
1,1,24,915488
1,2,24,1300491
1,0,25,151871
1,1,25,915488
1,2,25,1300491
1,0,26,151871
1,1,26,915488
1,2,26,1300491
1,0,27,151871
1,1,27,915488
1,2,27,1300491
1,0,28,151871
1,1,28,915488
1,2,28,1300491
1,0,29,151871
1,1,29,915488
1,2,29,1300491
1,0,30,151871
1,1,30,915488
1,2,30,1300491
1,0,31,151871
1,1,31,915488
1,2,31,1300491
1,0,32,151871
1,1,32,915488
1,2,32,1300491
1,0,33,151871
1,1,33,915488
1,2,33,1300491
1,0,34,151871
1,1,34,915488
1,2,34,1300491
1,0,35,151871
1,1,35,915488
1,2,35,1300491
1,0,36,151871
1,1,36,915488
1,2,36,1300491
1,0,37,151871
1,1,37,915488
1,2,37,1300491
1,0,38,151871
1,1,38,915488
1,2,38,1300491
1,0,39,151871
1,1,39,915488
1,2,39,1300491
1,0,40,151871
1,1,40,915488
1,2,40,1300491
1,0,41,151871
1,1,41,915488
1,2,41,1300491
1,0,42,151871
1,1,42,915488
1,2,42,1300491
1,0,43,151871
1,1,43,915488
1,2,43,1300491
1,0,44,151871
1,1,44,915488
1,2,44,1300491
1,0,45,151871
1,1,45,915488
1,2,45,1300491
1,0,46,151871
1,1,46,915488
1,2,46,1300491
1,0,47,151871
1,1,47,915488
1,2,47,1300491
1,0,48,151871
1,1,48,915488
1,2,48,1300491
1,0,49,151871
1,1,49,915488
1,2,49,1300491
1,0,50,151871
1,1,50,915488
1,2,50,1300491
1,0,51,151871
1,1,51,915488
1,2,51,1300491
1,0,52,151871
1,1,52,915488
1,2,52,1300491
1,0,53,151871
1,1,53,915488
1,2,53,1300491
1,0,54,151871
1,1,54,915488
1,2,54,1300491
1,0,55,151871
1,1,55,915488
1,2,55,1300491
1,0,56,151871
1,1,56,915488
1,2,56,1300491
1,0,57,151871
1,1,57,915488
1,2,57,1300491
1,0,58,151871
1,1,58,915488
1,2,58,1300491
1,0,59,151871
1,1,59,915488
1,2,59,1300491
1,0,60,151871
1,1,60,915488
1,2,60,1300491
1,0,61,151871
1,1,61,915488
1,2,61,1300491
1,0,62,151871
1,1,62,915488
1,2,62,1300491
1,0,63,151871
1,1,63,915488
1,2,63,1300491
1,0,64,151871
1,1,64,915488
1,2,64,1300491
1,0,65,151871
1,1,65,915488
1,2,65,1300491
1,0,66,151871
1,1,66,915488
1,2,66,1300491
1,0,67,151871
1,1,67,915488
1,2,67,1300491
1,0,68,151871
1,1,68,915488
1,2,68,1300491
1,0,69,151871
1,1,69,915488
1,2,69,1300491
1,0,70,151871
1,1,70,915488
1,2,70,1300491
1,0,71,151871
1,1,71,915488
1,2,71,1300491
1,0,72,151871
1,1,72,915488
1,2,72,1300491
1,0,73,151871
1,1,73,915488
1,2,73,1300491
1,0,74,151871
1,1,74,915488
1,2,74,1300491
1,0,75,151871
1,1,75,915488
1,2,75,1300491
1,0,76,151871
1,1,76,915488
1,2,76,1300491
1,0,77,151871
1,1,77,915488
1,2,77,1300491
1,0,78,151871
1,1,78,915488
1,2,78,1300491
1,0,79,151871
1,1,79,915488
1,2,79,1300491
1,0,80,151871
1,1,80,915488
1,2,80,1300491
1,0,81,151871
1,1,81,915488
1,2,81,1300491
1,0,82,151871
1,1,82,915488
1,2,82,1300491
1,0,83,151871
1,1,83,915488
1,2,83,1300491
1,0,84,151871
1,1,84,915488
1,2,84,1300491
1,0,85,151871
1,1,85,915488
1,2,85,1300491
1,0,86,151871
1,1,86,915488
1,2,86,1300491
1,0,87,151871
1,1,87,915488
1,2,87,1300491
1,0,88,151871
1,1,88,915488
1,2,88,1300491
1,0,89,151871
1,1,89,915488
1,2,89,1300491
1,0,90,151871
1,1,90,915488
1,2,90,1300491
1,0,91,151871
1,1,91,915488
1,2,91,1300491
1,0,92,151871
1,1,92,915488
1,2,92,1300491
1,0,93,151871
1,1,93,915488
1,2,93,1300491
1,0,94,151871
1,1,94,915488
1,2,94,1300491
1,0,95,151871
1,1,95,915488
1,2,95,1300491
1,0,96,151871
1,1,96,915488
1,2,96,1300491
1,0,97,151871
1,1,97,915488
1,2,97,1300491
1,0,98,151871
1,1,98,915488
1,2,98,1300491
1,0,99,151871
1,1,99,915488
1,2,99,1300491
2,0,0,71502
2,1,0,834973
2,2,0,1225433
2,0,1,71502
2,1,1,834973
2,2,1,1225433
2,0,2,71502
2,1,2,834973
2,2,2,1225433
2,0,3,71502
2,1,3,834973
2,2,3,1225433
2,0,4,71502
2,1,4,834973
2,2,4,1225433
2,0,5,71502
2,1,5,834973
2,2,5,1225433
2,0,6,71502
2,1,6,834973
2,2,6,1225433
2,0,7,71502
2,1,7,834973
2,2,7,1225433
2,0,8,71502
2,1,8,834973
2,2,8,1225433
2,0,9,71502
2,1,9,834973
2,2,9,1225433
2,0,10,71502
2,1,10,834973
2,2,10,1225433
2,0,11,71502
2,1,11,834973
2,2,11,1225433
2,0,12,71502
2,1,12,834973
2,2,12,1225433
2,0,13,71502
2,1,13,834973
2,2,13,1225433
2,0,14,71502
2,1,14,834973
2,2,14,1225433
2,0,15,71502
2,1,15,834973
2,2,15,1225433
2,0,16,71502
2,1,16,834973
2,2,16,1225433
2,0,17,71502
2,1,17,834973
2,2,17,1225433
2,0,18,71502
2,1,18,834973
2,2,18,1225433
2,0,19,71502
2,1,19,834973
2,2,19,1225433
2,0,20,71502
2,1,20,834973
2,2,20,1225433
2,0,21,71502
2,1,21,834973
2,2,21,1225433
2,0,22,71502
2,1,22,834973
2,2,22,1225433
2,0,23,71502
2,1,23,834973
2,2,23,1225433
2,0,24,71502
2,1,24,834973
2,2,24,1225433
2,0,25,71502
2,1,25,834973
2,2,25,1225433
2,0,26,71502
2,1,26,834973
2,2,26,1225433
2,0,27,71502
2,1,27,834973
2,2,27,1225433
2,0,28,71502
2,1,28,834973
2,2,28,1225433
2,0,29,71502
2,1,29,834973
2,2,29,1225433
2,0,30,71502
2,1,30,834973
2,2,30,1225433
2,0,31,71502
2,1,31,834973
2,2,31,1225433
2,0,32,71502
2,1,32,834973
2,2,32,1225433
2,0,33,71502
2,1,33,834973
2,2,33,1225433
2,0,34,71502
2,1,34,834973
2,2,34,1225433
2,0,35,71502
2,1,35,834973
2,2,35,1225433
2,0,36,71502
2,1,36,834973
2,2,36,1225433
2,0,37,71502
2,1,37,834973
2,2,37,1225433
2,0,38,71502
2,1,38,834973
2,2,38,1225433
2,0,39,71502
2,1,39,834973
2,2,39,1225433
2,0,40,71502
2,1,40,834973
2,2,40,1225433
2,0,41,71502
2,1,41,834973
2,2,41,1225433
2,0,42,71502
2,1,42,834973
2,2,42,1225433
2,0,43,71502
2,1,43,834973
2,2,43,1225433
2,0,44,71502
2,1,44,834973
2,2,44,1225433
2,0,45,71502
2,1,45,834973
2,2,45,1225433
2,0,46,71502
2,1,46,834973
2,2,46,1225433
2,0,47,71502
2,1,47,834973
2,2,47,1225433
2,0,48,71502
2,1,48,834973
2,2,48,1225433
2,0,49,71502
2,1,49,834973
2,2,49,1225433
2,0,50,71502
2,1,50,834973
2,2,50,1225433
2,0,51,71502
2,1,51,834973
2,2,51,1225433
2,0,52,71502
2,1,52,834973
2,2,52,1225433
2,0,53,71502
2,1,53,834973
2,2,53,1225433
2,0,54,71502
2,1,54,834973
2,2,54,1225433
2,0,55,71502
2,1,55,834973
2,2,55,1225433
2,0,56,71502
2,1,56,834973
2,2,56,1225433
2,0,57,71502
2,1,57,834973
2,2,57,1225433
2,0,58,71502
2,1,58,834973
2,2,58,1225433
2,0,59,71502
2,1,59,834973
2,2,59,1225433
2,0,60,71502
2,1,60,834973
2,2,60,1225433
2,0,61,71502
2,1,61,834973
2,2,61,1225433
2,0,62,71502
2,1,62,834973
2,2,62,1225433
2,0,63,71502
2,1,63,834973
2,2,63,1225433
2,0,64,71502
2,1,64,834973
2,2,64,1225433
2,0,65,71502
2,1,65,834973
2,2,65,1225433
2,0,66,71502
2,1,66,834973
2,2,66,1225433
2,0,67,71502
2,1,67,834973
2,2,67,1225433
2,0,68,71502
2,1,68,834973
2,2,68,1225433
2,0,69,71502
2,1,69,834973
2,2,69,1225433
2,0,70,71502
2,1,70,834973
2,2,70,1225433
2,0,71,71502
2,1,71,834973
2,2,71,1225433
2,0,72,71502
2,1,72,834973
2,2,72,1225433
2,0,73,71502
2,1,73,834973
2,2,73,1225433
2,0,74,71502
2,1,74,834973
2,2,74,1225433
2,0,75,71502
2,1,75,834973
2,2,75,1225433
2,0,76,71502
2,1,76,834973
2,2,76,1225433
2,0,77,71502
2,1,77,834973
2,2,77,1225433
2,0,78,71502
2,1,78,834973
2,2,78,1225433
2,0,79,71502
2,1,79,834973
2,2,79,1225433
2,0,80,71502
2,1,80,834973
2,2,80,1225433
2,0,81,71502
2,1,81,834973
2,2,81,1225433
2,0,82,71502
2,1,82,834973
2,2,82,1225433
2,0,83,71502
2,1,83,834973
2,2,83,1225433
2,0,84,71502
2,1,84,834973
2,2,84,1225433
2,0,85,71502
2,1,85,834973
2,2,85,1225433
2,0,86,71502
2,1,86,834973
2,2,86,1225433
2,0,87,71502
2,1,87,834973
2,2,87,1225433
2,0,88,71502
2,1,88,834973
2,2,88,1225433
2,0,89,71502
2,1,89,834973
2,2,89,1225433
2,0,90,71502
2,1,90,834973
2,2,90,1225433
2,0,91,71502
2,1,91,834973
2,2,91,1225433
2,0,92,71502
2,1,92,834973
2,2,92,1225433
2,0,93,71502
2,1,93,834973
2,2,93,1225433
2,0,94,71502
2,1,94,834973
2,2,94,1225433
2,0,95,71502
2,1,95,834973
2,2,95,1225433
2,0,96,71502
2,1,96,834973
2,2,96,1225433
2,0,97,71502
2,1,97,834973
2,2,97,1225433
2,0,98,71502
2,1,98,834973
2,2,98,1225433
2,0,99,71502
2,1,99,834973
2,2,99,1225433
