species,move,mode,learn_levels,existing_native,catch_window,JOHTO_TR,KANTO_TR,HOENN_TR
SPECIES_MACHOKE,MOVE_STRENGTH,modern,35,False,35-52,6-48,12-37,none
SPECIES_MACHOKE,MOVE_STRENGTH,legacy,35,False,35-58,6-54,12-43,none
SPECIES_MACHOP,MOVE_STRENGTH,modern,16,False,16-26,0-33,0-28,7-30
SPECIES_MACHOP,MOVE_STRENGTH,legacy,16,False,16-30,0-37,0-32,7-33
SPECIES_MAGNEMITE,MOVE_FLASH,modern,25,False,25-36,17-37,2-8,17-35
SPECIES_MAGNEMITE,MOVE_FLASH,legacy,25,False,25-43,17-42,2-8,17-41
SPECIES_MAGNETON,MOVE_FLASH,modern,50,False,50-100,45-80,29-80,45-80
SPECIES_MAGNETON,MOVE_FLASH,legacy,50,False,50-100,45-80,29-80,45-80
SPECIES_MAKUHITA,MOVE_STRENGTH,modern,6,False,6-15,none,none,0-18
SPECIES_MAKUHITA,MOVE_STRENGTH,legacy,6,False,6-21,none,none,0-30
SPECIES_MANECTRIC,MOVE_FLASH,modern,35,False,35-53,none,none,32-48
SPECIES_MANECTRIC,MOVE_FLASH,legacy,35,False,35-100,none,none,32-80
SPECIES_MANTINE,MOVE_WHIRLPOOL,modern,35,False,35-48,32-49,none,none
SPECIES_MANTINE,MOVE_WHIRLPOOL,legacy,35,False,35-100,32-80,none,none
SPECIES_MAREEP,MOVE_FLASH,modern,5,False,5-17,0-24,0-22,0-26
SPECIES_MAREEP,MOVE_FLASH,legacy,5,False,5-29,0-37,0-37,0-38
SPECIES_MARILL,MOVE_SURF,modern,9,False,9-15,0-16,0-20,0-22
SPECIES_MARILL,MOVE_SURF,legacy,18,False,18-44,5-48,0-50,3-51
SPECIES_MAWILE,MOVE_STRENGTH,modern,50,False,50-100,none,none,36-80
SPECIES_MAWILE,MOVE_STRENGTH,legacy,50,False,50-100,none,none,36-80
SPECIES_MIGHTYENA,MOVE_STRENGTH,modern,35,False,35-47,none,none,31-43
SPECIES_MIGHTYENA,MOVE_STRENGTH,legacy,35,False,35-51,none,none,31-47
SPECIES_MILTANK,MOVE_ROCK_SMASH,modern,45,False,45-100,33-80,none,33-80
SPECIES_MILTANK,MOVE_ROCK_SMASH,legacy,45,False,45-100,33-80,none,33-80
SPECIES_MILTANK,MOVE_STRENGTH,modern,25,False,25-44,9-42,none,9-34
SPECIES_MILTANK,MOVE_STRENGTH,legacy,25,False,25-44,9-42,none,9-34
SPECIES_NINCADA,MOVE_CUT,modern,12,False,12-24,none,none,12-32
SPECIES_NINCADA,MOVE_CUT,legacy,12,False,12-30,none,none,12-37
SPECIES_NOSEPASS,MOVE_ROCK_SMASH,modern,25,False,25-36,none,none,21-41
SPECIES_NOSEPASS,MOVE_ROCK_SMASH,legacy,25,False,25-42,none,none,21-46
SPECIES_NUMEL,MOVE_STRENGTH,modern,35,False,35-46,none,none,34-47
SPECIES_NUMEL,MOVE_STRENGTH,legacy,35,False,35-100,none,none,34-80
SPECIES_ONIX,MOVE_STRENGTH,modern,30,False,30-39,"2-11, 14-44","11-26, 33-42",none
SPECIES_ONIX,MOVE_STRENGTH,legacy,30,False,30-48,2-52,11-50,none
SPECIES_PARAS,MOVE_CUT,modern,12,False,12-32,5-37,0-38,none
SPECIES_PARAS,MOVE_CUT,legacy,12,False,12-30,5-35,0-37,none
SPECIES_PARASECT,MOVE_CUT,modern,55,False,55-100,25-80,29-80,none
SPECIES_PARASECT,MOVE_CUT,legacy,55,False,55-100,25-80,29-80,none
SPECIES_PHANPY,MOVE_ROCK_SMASH,modern,8,False,8-23,0-34,0-26,0-13
SPECIES_PHANPY,MOVE_ROCK_SMASH,legacy,8,False,8-32,0-42,0-36,0-28
SPECIES_PILOSWINE,MOVE_STRENGTH,modern,55,False,55-100,25-80,none,none
SPECIES_PILOSWINE,MOVE_STRENGTH,legacy,55,False,55-100,25-80,none,none
SPECIES_PINECO,MOVE_ROCK_SMASH,modern,25,False,25-33,"9-13, 21-38","2-14, 21-38",12-34
SPECIES_PINECO,MOVE_ROCK_SMASH,legacy,25,False,25-49,"9-13, 21-52",2-52,12-48
SPECIES_POLIWAG,MOVE_SURF,modern,12,False,12-24,0-34,0-33,none
SPECIES_POLIWAG,MOVE_SURF,legacy,12,False,12-30,0-39,0-38,none
SPECIES_POLIWHIRL,MOVE_SURF,modern,30,False,30-47,12-46,21-46,none
SPECIES_POLIWHIRL,MOVE_SURF,legacy,30,False,30-100,12-80,21-80,none
SPECIES_POOCHYENA,MOVE_ROCK_SMASH,modern,5,False,5-15,none,none,0-24
SPECIES_POOCHYENA,MOVE_ROCK_SMASH,legacy,5,False,5-20,none,none,0-32
SPECIES_PSYDUCK,MOVE_DIVE,modern,22,False,22-33,0-38,0-41,5-33
SPECIES_PSYDUCK,MOVE_DIVE,legacy,22,False,22-49,0-52,0-54,5-47
SPECIES_PSYDUCK,MOVE_SURF,modern,10,False,10-21,0-26,0-31,0-16
SPECIES_PSYDUCK,MOVE_SURF,legacy,5,False,5-22,0-28,0-32,0-18
SPECIES_QUAGSIRE,MOVE_SURF,modern,40,False,40-52,11-52,none,27-42
SPECIES_QUAGSIRE,MOVE_SURF,legacy,40,False,40-60,11-58,none,27-51
SPECIES_QWILFISH,MOVE_SURF,modern,49,False,49-100,37-80,48-80,none
SPECIES_QWILFISH,MOVE_SURF,legacy,40,False,40-100,27-80,39-80,none
SPECIES_QWILFISH,MOVE_WHIRLPOOL,modern,25,False,25-36,9-41,21-43,none
SPECIES_QWILFISH,MOVE_WHIRLPOOL,legacy,25,False,25-45,9-48,21-51,none
SPECIES_RALTS,MOVE_FLASH,modern,8,False,8-16,none,none,7-24
SPECIES_RALTS,MOVE_FLASH,legacy,8,False,8-25,none,none,7-35
SPECIES_RATICATE,MOVE_CUT,modern,45,False,45-100,31-80,39-80,none
SPECIES_RATICATE,MOVE_CUT,legacy,45,False,45-100,31-80,39-80,none
SPECIES_RATTATA,MOVE_CUT,modern,5,False,5-15,0-24,0-24,none
SPECIES_RATTATA,MOVE_CUT,legacy,5,False,5-26,0-37,0-37,none
SPECIES_RELICANTH,MOVE_DIVE,modern,26,True,26-45,none,none,14-38
SPECIES_RELICANTH,MOVE_DIVE,legacy,26,False,26-49,none,none,14-42
SPECIES_REMORAID,MOVE_SURF,modern,40,False,40-100,37-80,34-80,32-80
SPECIES_REMORAID,MOVE_SURF,legacy,40,False,40-100,37-80,34-80,32-80
SPECIES_REMORAID,MOVE_WATERFALL,modern,10,False,10-25,0-24,0-34,0-18
SPECIES_REMORAID,MOVE_WATERFALL,legacy,10,False,10-21,0-16,0-31,0-13
SPECIES_SABLEYE,MOVE_CUT,modern,35,False,35-43,none,none,"17-37, 39-47"
SPECIES_SABLEYE,MOVE_CUT,legacy,35,False,35-100,none,none,17-80
SPECIES_SABLEYE,MOVE_FLASH,modern,9,False,9-18,none,none,0-22
SPECIES_SABLEYE,MOVE_FLASH,legacy,9,False,9-24,none,none,0-32
SPECIES_SANDSHREW,MOVE_CUT,modern,20,False,20-33,11-39,"1-2, 7-38",12-34
SPECIES_SANDSHREW,MOVE_CUT,legacy,20,False,20-39,11-44,"1-2, 7-43",12-39
SPECIES_SANDSHREW,MOVE_ROCK_SMASH,modern,40,False,40-100,37-80,33-80,38-80
SPECIES_SANDSHREW,MOVE_ROCK_SMASH,legacy,40,False,40-100,37-80,33-80,38-80
SPECIES_SANDSLASH,MOVE_CUT,modern,50,False,50-100,45-80,35-80,none
SPECIES_SANDSLASH,MOVE_CUT,legacy,50,False,50-100,45-80,35-80,none
SPECIES_SCYTHER,MOVE_CUT,modern,60,False,60-100,48-80,54-80,none
SPECIES_SCYTHER,MOVE_CUT,legacy,60,False,60-100,48-80,54-80,none
SPECIES_SEADRA,MOVE_SURF,modern,40,False,40-59,27-56,32-54,none
SPECIES_SEADRA,MOVE_SURF,legacy,40,False,40-100,27-80,32-80,none
SPECIES_SEADRA,MOVE_WATERFALL,modern,40,False,40-100,27-80,32-80,none
SPECIES_SEADRA,MOVE_WATERFALL,legacy,40,False,40-100,27-80,32-80,none
SPECIES_SEAKING,MOVE_DIVE,modern,50,False,50-100,21-80,43-80,38-80
SPECIES_SEAKING,MOVE_DIVE,legacy,50,False,50-100,21-80,43-80,38-80
SPECIES_SEAKING,MOVE_WATERFALL,modern,32,True,32-53,5-52,25-51,17-48
SPECIES_SEAKING,MOVE_WATERFALL,legacy,41,True,41-100,12-80,35-80,29-80
SPECIES_SEEL,MOVE_DIVE,modern,41,True,41-52,36-55,36-47,none
SPECIES_SEEL,MOVE_DIVE,legacy,41,False,41-100,36-80,36-80,none
SPECIES_SHARPEDO,MOVE_SURF,modern,45,False,45-100,none,none,36-80
SPECIES_SHARPEDO,MOVE_SURF,legacy,45,False,45-100,none,none,36-80
SPECIES_SHELLDER,MOVE_SURF,modern,13,False,13-27,0-33,2-31,none
SPECIES_SHELLDER,MOVE_SURF,legacy,33,False,33-100,17-80,31-80,none
SPECIES_SHELLDER,MOVE_WHIRLPOOL,modern,40,True,40-55,27-56,37-55,none
SPECIES_SHELLDER,MOVE_WHIRLPOOL,legacy,40,False,40-100,27-80,37-80,none
SPECIES_SLAKOTH,MOVE_STRENGTH,modern,15,False,15-29,none,none,17-37
SPECIES_SLAKOTH,MOVE_STRENGTH,legacy,15,False,15-36,none,none,17-43
SPECIES_SLOWBRO,MOVE_SURF,modern,40,False,40-61,35-59,11-56,none
SPECIES_SLOWBRO,MOVE_SURF,legacy,55,False,55-100,49-80,27-80,none
SPECIES_SLOWPOKE,MOVE_SURF,modern,12,False,12-27,0-35,0-33,none
SPECIES_SLOWPOKE,MOVE_SURF,legacy,20,False,20-47,8-52,0-50,none
SPECIES_SNUBBULL,MOVE_STRENGTH,modern,20,False,20-42,17-45,9-46,6-34
SPECIES_SNUBBULL,MOVE_STRENGTH,legacy,20,False,20-52,17-53,9-55,6-43
SPECIES_SOLROCK,MOVE_FLASH,modern,45,False,45-100,none,none,34-80
SPECIES_SOLROCK,MOVE_FLASH,legacy,45,False,45-100,none,none,34-80
SPECIES_SPHEAL,MOVE_DIVE,modern,50,False,50-100,none,none,41-80
SPECIES_SPHEAL,MOVE_DIVE,legacy,50,False,50-100,none,none,41-80
SPECIES_SPHEAL,MOVE_SURF,modern,32,False,32-49,none,none,19-45
SPECIES_SPHEAL,MOVE_SURF,legacy,32,False,32-48,none,none,19-44
SPECIES_SPOINK,MOVE_FLASH,modern,30,False,30-43,none,none,29-42
SPECIES_SPOINK,MOVE_FLASH,legacy,30,False,30-42,none,none,29-41
SPECIES_STANTLER,MOVE_FLASH,modern,45,False,45-100,45-80,44-80,34-80
SPECIES_STANTLER,MOVE_FLASH,legacy,45,False,45-100,45-80,44-80,34-80
SPECIES_STARYU,MOVE_SURF,modern,42,False,42-100,31-80,none,36-80
SPECIES_STARYU,MOVE_SURF,legacy,33,False,33-100,17-80,none,25-80
SPECIES_TAUROS,MOVE_STRENGTH,modern,40,False,40-62,37-58,35-56,none
SPECIES_TAUROS,MOVE_STRENGTH,legacy,40,False,40-100,37-80,35-80,none
SPECIES_TEDDIURSA,MOVE_ROCK_SMASH,modern,14,False,14-28,"0-18, 21-38",none,0-36
SPECIES_TEDDIURSA,MOVE_ROCK_SMASH,legacy,14,False,14-36,0-45,none,0-42
SPECIES_TENTACOOL,MOVE_SURF,modern,16,False,16-27,0-33,0-36,0-36
SPECIES_TENTACOOL,MOVE_SURF,legacy,6,False,6-29,0-35,0-37,0-37
SPECIES_TENTACOOL,MOVE_WHIRLPOOL,modern,45,False,45-100,33-80,33-80,36-80
SPECIES_TENTACOOL,MOVE_WHIRLPOOL,legacy,45,False,45-100,33-80,33-80,36-80
SPECIES_TENTACRUEL,MOVE_SURF,modern,45,False,45-100,33-80,none,36-80
SPECIES_TENTACRUEL,MOVE_SURF,legacy,41,False,41-100,29-80,none,33-80
SPECIES_TORKOAL,MOVE_STRENGTH,modern,45,False,45-100,none,none,38-80
SPECIES_TORKOAL,MOVE_STRENGTH,legacy,45,False,45-100,none,none,38-80
SPECIES_TRAPINCH,MOVE_ROCK_SMASH,modern,35,False,35-46,none,none,33-45
SPECIES_TRAPINCH,MOVE_ROCK_SMASH,legacy,35,False,35-100,none,none,33-80
SPECIES_TROPIUS,MOVE_CUT,modern,50,False,50-100,none,none,45-80
SPECIES_TROPIUS,MOVE_CUT,legacy,50,False,50-100,none,none,45-80
SPECIES_URSARING,MOVE_STRENGTH,modern,50,False,50-100,18-80,none,none
SPECIES_URSARING,MOVE_STRENGTH,legacy,50,False,50-100,18-80,none,none
SPECIES_VOLBEAT,MOVE_FLASH,modern,1,True,1-11,none,none,0-6
SPECIES_VOLBEAT,MOVE_FLASH,legacy,1,False,1-16,none,none,0-15
SPECIES_VOLTORB,MOVE_FLASH,modern,30,False,30-40,29-39,33-42,25-38
SPECIES_VOLTORB,MOVE_FLASH,legacy,30,False,30-45,29-43,33-47,25-42
SPECIES_WAILMER,MOVE_DIVE,modern,41,True,41-100,none,none,24-80
SPECIES_WAILMER,MOVE_DIVE,legacy,41,False,41-100,none,none,24-80
SPECIES_WAILMER,MOVE_WHIRLPOOL,modern,13,True,13-24,none,none,0-31
SPECIES_WAILMER,MOVE_WHIRLPOOL,legacy,19,True,19-36,none,none,0-41
SPECIES_WAILORD,MOVE_DIVE,modern,44,True,44-100,none,none,38-80
SPECIES_WAILORD,MOVE_DIVE,legacy,44,False,44-100,none,none,38-80
SPECIES_WAILORD,MOVE_WHIRLPOOL,modern,13,True,13-24,none,none,none
SPECIES_WAILORD,MOVE_WHIRLPOOL,legacy,19,True,19-36,none,none,none
SPECIES_WEEPINBELL,MOVE_CUT,modern,30,False,30-46,19-45,21-41,none
SPECIES_WEEPINBELL,MOVE_CUT,legacy,30,False,30-100,19-80,21-80,none
SPECIES_WHISCASH,MOVE_DIVE,modern,45,False,45-100,none,none,31-80
SPECIES_WHISCASH,MOVE_DIVE,legacy,45,False,45-100,none,none,31-80
SPECIES_WHISCASH,MOVE_WATERFALL,modern,25,False,25-44,none,none,11-37
SPECIES_WHISCASH,MOVE_WATERFALL,legacy,25,False,25-44,none,none,11-37
SPECIES_WOOPER,MOVE_SURF,modern,37,False,37-100,32-80,32-80,32-80
SPECIES_WOOPER,MOVE_SURF,legacy,4,False,4-21,0-32,0-31,0-13
SPECIES_WOOPER,MOVE_WATERFALL,modern,22,False,22-36,11-44,11-43,11-33
SPECIES_WOOPER,MOVE_WATERFALL,legacy,22,False,22-50,11-55,11-55,11-46
SPECIES_ZIGZAGOON,MOVE_CUT,modern,5,False,5-12,none,none,0-18
SPECIES_ZIGZAGOON,MOVE_CUT,legacy,5,False,5-20,none,none,0-32
